checkpoint,method,miou,RoadAnomaly21_auprc,RoadAnomaly21_fpr95,RoadAnomaly21_num_images,RoadObstacle21_auprc,RoadObstacle21_fpr95,RoadObstacle21_num_images,FS_LostFound_full_auprc,FS_LostFound_full_fpr95,FS_LostFound_full_num_images,fs_static_auprc,fs_static_fpr95,fs_static_num_images,RoadAnomaly_auprc,RoadAnomaly_fpr95,RoadAnomaly_num_images
eomt_coco,msp,,38.71805117931566,77.52158542523586,10,2.7516464707493493,99.97984944130613,30,3.7893197100075646,97.20518225498047,99,4.659001916442816,99.48092117751997,20,18.84913965664081,91.84777799663615,60
eomt_coco,maxlogit,,39.02551286843461,77.03345064614419,10,2.7464072718046686,99.98043563937723,30,3.7790941803294524,97.2029567095489,99,4.666524546335602,99.4622199530125,20,19.007785043618085,91.57654204838246,60
eomt_coco,entropy,,43.08147659955639,63.545987545575834,10,8.288580376786761,99.98311016807659,30,3.7899036765901006,96.9060571918266,99,4.567454599694478,99.32666294908287,20,21.517097341625607,87.88909926174514,60
eomt_coco,rba,,41.488960376064135,71.68304955245624,10,2.7704540952022634,99.94519571426403,30,2.823879131172171,95.17003852930995,99,4.077273696354527,93.92522810583992,20,21.304803231323415,82.39053414825683,60
eomt_cityscapes,msp,,68.09563873063868,30.422128178431596,10,94.18765038906982,0.36658838479925593,30,16.393849875477365,13.012709509227745,99,58.1919895951857,43.46787756005877,20,71.35136317226491,15.447183143162249,60
eomt_cityscapes,maxlogit,,67.49119536018513,31.590571692115233,10,94.22573713395946,0.3625164017696901,30,16.377438397172863,12.776338533012252,99,58.37164607207064,46.91512014774112,20,70.76849199382829,15.062925195348159,60
eomt_cityscapes,entropy,,68.37170536621619,30.61906590499114,10,94.28295549674934,0.34885589314865306,30,18.962785205018154,12.8271359543129,99,56.9443329197621,43.803741325662024,20,74.19086462787737,14.68882380108786,60
eomt_cityscapes,rba,,67.87210532148492,31.591587787327313,10,94.17803789166507,0.338356666982446,30,16.364439876551273,12.700015031932391,99,59.56913284052917,47.054889793512565,20,70.40796331367206,14.175485546149059,60
eomt_finetuned,msp,,70.76821826915815,13.600856687028159,10,25.43563653062372,2.7168815100043595,30,34.33762473053539,15.927807652782612,99,70.01144998195834,13.678174965019094,20,52.176485965836974,93.71364099766765,60
eomt_finetuned,maxlogit,,69.57143749671721,16.129666945103146,10,24.453605568870344,2.786775162159658,30,33.917335559180536,17.21182860770608,99,71.22701538617534,13.473885077852236,20,51.55369494533466,93.24204631825737,60
eomt_finetuned,entropy,,68.83429912585008,14.98138698316053,10,24.158271028931864,2.783870341360932,30,34.87416868566116,23.823490614216396,99,71.60368061303286,12.617245811951271,20,51.52712560576027,92.8493650308477,60
eomt_finetuned,rba,,58.43124564654474,20.511043107509472,10,18.318807018728453,3.3209952596464913,30,24.802463227076196,19.11074852640004,99,71.04355692620362,12.46134320056074,20,47.40939161259241,79.58764633295759,60
